element,level,t,r,theta,phi,Interval size,Height,D
7568,11,4.977317378699696,1.1140922675914966,-2.3645265998039418,1.139589525020239,15708,10,4
8096,11,5.056306680641996,1.88873533593615,2.8964797028307787,1.4975681214912693,15708,10,4
8205,11,5.0732774791996595,1.2924151495595086,1.0877109259323885,0.48224708006481676,15708,10,4
8361,11,5.097846422896732,0.928431397930036,-0.9431463152153873,2.043679298475627,15708,10,4
8490,11,5.117757612814434,0.6233536285739366,-2.7454054136313135,1.2583897806600606,15708,10,4
8525,11,5.123334354275793,0.8305602643503813,-0.4973489741931712,2.3407602514581236,15708,10,4
8573,11,5.129323698130026,0.9070585243315091,-1.7711317728787854,1.095084658107207,15708,10,4
8602,11,5.134124714012943,0.9348902240041291,3.120981034555854,1.3127202986081519,15708,10,4
8687,11,5.149543161492818,1.339153000378132,-2.4073512135354687,1.1104995719066866,15708,10,4
8737,11,5.157841656610438,1.6505789550907153,3.0148212550810167,1.6672514547006871,15708,10,4
8773,11,5.164594134730458,0.778512721279758,-2.036916241040516,2.77475703137513,15708,10,4
9627,11,5.326259811192316,1.2954877352588647,-0.9276751435631094,2.4262568199656678,15708,10,4
10267,11,5.449955883349023,1.0034938740935184,-1.424023862963658,2.2977783022671754,15708,10,4
9991,12,5.396722165561316,0.9703800482461018,-1.8371510385095096,1.1609617130790422,15708,10,4
10154,12,5.429164343865411,0.8972549555637567,-1.9056660259928362,1.3418711958597833,15708,10,4
10182,12,5.434429997940607,1.5540736317063284,1.2383604811306557,0.40391793784918045,15708,10,4
10373,12,5.468261070630273,1.8125070363677644,3.0122563018929345,1.6567168736745348,15708,10,4
10532,12,5.504752117063233,0.7739993948229481,-3.056411184720082,1.4486544514731319,15708,10,4
10687,12,5.538259478441404,0.86892780615874,-2.9171092775349363,1.5275456907473475,15708,10,4
10758,12,5.553756246397335,0.929635221414545,-1.6888587848838705,2.7130138581093073,15708,10,4
10903,12,5.58628419144899,0.44925740019489696,-2.1090022001372706,1.7204693790157335,15708,10,4
11026,12,5.6172363427056125,0.8214294623972448,-2.182208426057557,2.513799396612379,15708,10,4
11054,12,5.624644113006938,1.4075417359785725,0.9466268200751033,0.2901562977688493,15708,10,4
11193,12,5.661149539442971,0.9755708510453437,-2.4199016883376974,0.9681255276687827,15708,10,4
