element,level,t,r,theta,phi,pred spherical_coordinates_N1675k.csv
1246927,45,0.577080685362448,0.0924362209427299,2.9157127089992585,1.156871425149822,[1196073]
1290170,46,0.588232266252511,0.08639942722294043,2.904433591999264,1.052956691921933,[1246927]
1349589,47,0.6050136332172489,0.07698742559389478,2.86584225605726,0.9033891223894577,[1290170]
1368103,48,0.610646572169391,0.07467422784621774,2.8569980896053937,0.8602032172682357,[1349589]
1396768,49,0.6199850212030681,0.07370974924928579,2.8106283438557123,0.9523570901250592,[1368103]
1435664,50,0.6340261042067524,0.0671417020325431,2.7236043549102384,0.8294804520450366,[1396768]
1481957,51,0.6531224939906057,0.07808735018929351,2.628390976209988,0.7193723901802367,[1435664]
1505214,52,0.663962673305939,0.07287949047306877,2.6361155403492282,0.6792069483804944,[1481957]
1518879,53,0.6709179041741203,0.06886691639466244,2.6819898972242115,0.6594221708575866,[1505214]
1532944,54,0.6786774029195205,0.06619055070607044,2.7205296949055406,0.5694228775820102,[1518879]
1555965,55,0.6924325470040712,0.053707660212549246,2.6362521548847515,0.5912224408609588,[1532944]
1566102,56,0.6992439668209219,0.05098514863820853,2.562990364031035,0.6775813711389931,[1555965]
1578409,57,0.7079943769391082,0.05364752007259267,2.392075075632602,0.74180432814637,[1566102]
1594425,58,0.7208720524021871,0.04979323819883134,2.5581703669247187,0.741370978424745,[1578409]
1598688,58,0.7246178700720152,0.06561371170301221,2.619390057962689,0.6261439367337196,[1578409]
1610741,59,0.7361738378224646,0.06493614697261553,2.5615827687414225,0.657355766906154,[1598688]
1614342,59,0.7399735693879501,0.06394876747044093,2.227488898363381,0.6826236196675883,[1594425]
1626916,60,0.7544084267328213,0.06901582582404471,2.2561957977013707,0.8095712689611773,[1610741 1614342]
1629770,60,0.7580980857713875,0.06901115641569072,2.028858572639606,0.6063753892956083,[1610741 1614342]
1635475,61,0.7660293834709071,0.06432064355981522,2.1016738230752576,0.7172891856194837,[1626916]
1636870,61,0.7681316105135357,0.060311987202860975,1.9824612523982297,0.65286758528449,[1629770]
1642298,62,0.77690483983642,0.06693088255264966,1.9759104740138818,0.6000628453918136,[1635475 1636870]
1650036,63,0.7913232791401417,0.07746946354146785,1.925959580747843,0.6196009059649653,[1642298]
1655842,64,0.8046831919520497,0.0864901644260184,1.8237819885643007,0.6922892713753304,[1650036]
1658656,65,0.8121074886788174,0.08930205816743711,1.8853193765538552,0.703185404391271,[1655842]
1662572,66,0.8242692516865531,0.08463987086328004,2.052376582772808,0.642762846476197,[1658656]
1665653,67,0.8357325163959979,0.08162125085182989,2.190203737237091,0.5657721573779316,[1662572]
1666902,68,0.8412654744017914,0.08395680896146857,2.185141602945695,0.5802466405347324,[1665653]
